property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,133.0,199182.42,-12.952238,-38.395287,Brasil
apartment,Northeast,67.0,106097.48,-12.937969,-38.381538,Brasil
apartment,Northeast,82.0,127941.08,-12.937969,-38.381538,Brasil
apartment,Northeast,67.0,106097.48,-12.937969,-38.381538,Brasil
apartment,Northeast,110.0,215315.48,-12.993305,-38.45739,Brasil
apartment,Northeast,112.0,196592.39,-12.993533,-38.526047,Brasil
apartment,Northeast,53.0,90800.72,-12.985591,-38.469273,Brasil
apartment,Northeast,60.0,96735.94,-13.007857,-38.498463,Brasil
house,Northeast,200.0,249641.14,-12.968771,-38.42057,Brasil
apartment,Northeast,79.0,156457.9,-12.98223,-38.43898,Brasil
apartment,Northeast,103.0,252888.97,-12.998506,-38.52309,Brasil
apartment,Northeast,90.0,158740.56,-12.970966,-38.436806,Brasil
apartment,Northeast,84.0,146664.17,-13.000443,-38.45739,Brasil
apartment,Northeast,59.0,130749.54,-13.000164,-38.489021,Brasil
apartment,Northeast,97.0,193471.88,-13.000443,-38.45739,Brasil
apartment,Northeast,110.0,152905.19,-12.983924,-38.450443,Brasil
apartment,Northeast,84.0,146664.17,-13.000443,-38.45739,Brasil
apartment,Northeast,59.0,130749.54,-13.000164,-38.489021,Brasil
apartment,Northeast,115.0,288335.51,-13.000164,-38.489021,Brasil
apartment,Northeast,113.0,101416.71,-14.827576,-39.029541,Brasil
apartment,Northeast,109.0,160706.48,-14.801797,-39.041534,Brasil
apartment,Northeast,112.0,90494.91,-14.859674,-40.820404,Brasil
house,Northeast,190.0,106097.48,-14.841515,-39.02878,Brasil
house,Northeast,130.0,84253.88,-12.147748,-44.995347,Brasil
house,Northeast,80.0,468077.13,-12.973864,-38.466591,Brasil
apartment,Northeast,70.0,133462.52,-12.965071,-38.435036,Brasil
apartment,Northeast,65.0,102641.2,-12.938337,-38.362667,Brasil
apartment,Northeast,67.0,86296.26,-12.149824,-44.992315,Brasil
house,Northeast,145.0,78012.85,-12.146704,-45.009677,Brasil
house,Northeast,96.0,202833.42,-16.444413,-39.065332,Brasil
apartment,Northeast,86.0,132683.01,-14.78655,-39.03495,Brasil
house,Northeast,110.0,109217.99,-14.834512,-39.026514,Brasil
apartment,Northeast,75.0,76452.59,-14.844938,-39.026431,Brasil
apartment,Northeast,113.0,102581.9,-14.827576,-39.029541,Brasil
house,Northeast,114.0,95487.73,-14.841484,-39.028789,Brasil
apartment,Northeast,58.0,91811.77,-14.816835,-39.025423,Brasil
apartment,Northeast,132.0,78012.85,-12.139819,-45.012824,Brasil
apartment,Northeast,84.0,122636.21,-14.78619,-39.03628,Brasil
house,Northeast,110.0,90494.91,-12.15477,-45.0016,Brasil
apartment,Northeast,96.0,87374.39,-12.144439,-44.996502,Brasil
house,Northeast,182.0,109217.99,-14.841515,-39.02878,Brasil
house,Northeast,136.0,101416.71,-14.841515,-39.02878,Brasil
apartment,Northeast,194.0,102976.97,-12.149369,-44.990957,Brasil
apartment,Northeast,220.0,405666.85,-13.009679,-38.486305,Brasil
apartment,Northeast,220.0,405666.85,-13.009679,-38.486305,Brasil
apartment,Northeast,142.0,343256.56,-12.950598,-38.40873,Brasil
apartment,Northeast,108.0,168507.77,-12.993305,-38.45739,Brasil
apartment,Northeast,108.0,168507.77,-12.993305,-38.45739,Brasil
apartment,Northeast,74.0,102976.97,-12.990577,-38.510612,Brasil
apartment,Northeast,140.0,140423.14,-13.009875,-38.481541,Brasil
apartment,Northeast,94.0,165387.25,-12.970382,-38.512382,Brasil
apartment,Northeast,67.0,140423.14,-12.985207,-38.456074,Brasil
apartment,Northeast,140.0,140423.14,-13.009875,-38.481541,Brasil
apartment,Northeast,60.0,117647.44,-12.993782,-38.492218,Brasil
apartment,Northeast,110.0,126968.0,-12.971756,-38.438103,Brasil
apartment,Northeast,105.0,218435.99,-12.993305,-38.45739,Brasil
apartment,Northeast,110.0,126968.0,-12.971756,-38.438103,Brasil
apartment,Northeast,105.0,218435.99,-12.993305,-38.45739,Brasil
apartment,Northeast,115.0,143543.65,-13.000443,-38.45739,Brasil
apartment,Northeast,115.0,143543.65,-13.000443,-38.45739,Brasil
apartment,Northeast,65.0,86219.8,-14.840205,-39.031994,Brasil
apartment,Northeast,74.0,109998.12,-14.805622,-39.037059,Brasil
apartment,Northeast,115.0,196592.39,-13.009623,-38.514156,Brasil
apartment,Northeast,110.0,131061.59,-12.983924,-38.450443,Brasil
apartment,Northeast,57.0,98296.19,-12.957254,-38.429649,Brasil
house,Northeast,182.0,102976.97,-14.841515,-39.02878,Brasil
apartment,Northeast,243.0,452474.56,-12.950598,-38.40873,Brasil
house,Northeast,115.0,93615.42,-14.841484,-39.028789,Brasil
house,Northeast,115.0,93615.42,-14.841484,-39.028789,Brasil
